Ensembl Gene ID	Associated Gene Name	RefSeq mRNA [e.g. NM_001195597]	RefSeq ncRNA [e.g. NR_002834]
ENSMUSG00000074746	Pdzd8	NM_001033222	
ENSMUSG00000040128	Pnrc1	NM_001033225	
ENSMUSG00000042284	Itga1	NM_001033228	
ENSMUSG00000061111	Fam195b	NM_001033231	
ENSMUSG00000049882	Vcpkmt	NM_001033236	
ENSMUSG00000022637	Cblb	NM_001033238	
ENSMUSG00000022125	Cln5	NM_001033242	
ENSMUSG00000034023	Fancd2	NM_001033244	
ENSMUSG00000062866	Phactr2	NM_001033257	
ENSMUSG00000009647	Mcu	NM_001033259	
ENSMUSG00000034163	Zfc3h1	NM_001033261	
ENSMUSG00000038014	Fam120a	NM_001033268	
ENSMUSG00000021733	Slc4a7	NM_001033270	
ENSMUSG00000035953	Tmem55b	NM_001033271	
ENSMUSG00000021990	Spata13	NM_001033272	
ENSMUSG00000036046	5031439G07Rik	NM_001033273	
ENSMUSG00000022387	Brd1	NM_001033274	
ENSMUSG00000036197	Gxylt1	NM_001033275	
ENSMUSG00000048154	Kmt2d	NM_001033276	
ENSMUSG00000036966	Spryd3	NM_001033277	
ENSMUSG00000056692	D17Wsu92e	NM_001033279	
ENSMUSG00000033488	BC026585	NM_001033284	
ENSMUSG00000026490	Cdc42bpa	NM_001033285	
ENSMUSG00000005501	Usp40	NM_001033291	
ENSMUSG00000074754	Gm561	NM_001033297	
ENSMUSG00000074749	Kiz	NM_001033298	
ENSMUSG00000027823	Gmps	NM_001033300	
ENSMUSG00000071014	Ndufb6	NM_001033305	
ENSMUSG00000044813	Shb	NM_001033306	
ENSMUSG00000035505	Cox18	NM_001033310	
ENSMUSG00000066640	Fbxl18	NM_001033312	
ENSMUSG00000029623	Pdap1	NM_001033313	
ENSMUSG00000074358	Ccdc61	NM_001033314	
ENSMUSG00000034951	Cog7	NM_001033318	
ENSMUSG00000037519	Ppfia1	NM_001033319	
ENSMUSG00000073139	BC023829	NM_001033328	
ENSMUSG00000025656	Arhgef9	NM_001033329	
ENSMUSG00000048410	Zfp407	NM_001033341	
ENSMUSG00000024769	Cdc42bpg	NM_001033342	
ENSMUSG00000026564	Dusp27	NM_001033344	
ENSMUSG00000037110	Ralgapa2	NM_001033348	
ENSMUSG00000073700	Klhl21	NM_001033352	
ENSMUSG00000034560	A230046K03Rik	NM_001033375	
ENSMUSG00000095115	Itpripl2	NM_001033380	
ENSMUSG00000074405	Zfp865	NM_001033383	
ENSMUSG00000026843	Fubp3	NM_001033389	
ENSMUSG00000073680	Tmem88b	NM_001033394	
ENSMUSG00000074623	Gm826	NM_001033411	
ENSMUSG00000058325	Dock1	NM_001033420	
ENSMUSG00000037475	Thoc2	NM_001033422	
ENSMUSG00000042599	Kdm7a	NM_001033430	
ENSMUSG00000039879	Heca	NM_001033432	
ENSMUSG00000071342	Lsmem1	NM_001033437	
ENSMUSG00000068015	Lrch1	NM_001033439	
ENSMUSG00000075470	Alg10b	NM_001033441	
ENSMUSG00000042680	Garem	NM_001033445	
ENSMUSG00000075040	Zfp408	NM_001033451	
ENSMUSG00000001569	Nom1	NM_001033457	
ENSMUSG00000070858	Gm1673	NM_001033458	
ENSMUSG00000056952	Tatdn2	NM_001033463	
ENSMUSG00000075327	Zbtb2	NM_001033466	
ENSMUSG00000044150	A830080D01Rik	NM_001033472	
ENSMUSG00000074748	Atxn7l3b	NM_001033474	
ENSMUSG00000034111	Tmed8	NM_001033475	
ENSMUSG00000036098	Myrf	NM_001033481	
ENSMUSG00000028068	Iqgap3	NM_001033484	
ENSMUSG00000058498	Rnf207	NM_001033489	
ENSMUSG00000051557	Pusl1	NM_001033490	
ENSMUSG00000071256	Zfp213	NM_001033496	
ENSMUSG00000046410	Kcnk6	NM_001033525	
ENSMUSG00000033909	Usp36	NM_001033528	
ENSMUSG00000033632	AW554918	NM_001033532	
ENSMUSG00000063605	Ccdc102a	NM_001033533	
ENSMUSG00000060594	Layn	NM_001033534	
ENSMUSG00000037674	Rfx7	NM_001033536	
ENSMUSG00000038208	Pgap3	NM_001033537	
ENSMUSG00000066647	Gm5113	NM_001033540	
ENSMUSG00000070639	Lrrc8b	NM_001033550	
ENSMUSG00000032883	Acsl3	NM_001033606	
ENSMUSG00000050705	2310061I04Rik	NM_001033630	
ENSMUSG00000034636	Zyg11b	NM_001033634	
ENSMUSG00000030557	Mef2a	NM_001033713	
ENSMUSG00000024754	Tmem2	NM_001033759	
ENSMUSG00000020460	Rps27a	NM_001033865	
ENSMUSG00000053559	Smagp	NM_001033872	
ENSMUSG00000058145	Adamts17	NM_001033877	
ENSMUSG00000015776	Med22	NM_001033908	
ENSMUSG00000025326	Ube3a	NM_001033962	
ENSMUSG00000028792	Ak2	NM_001033966	
ENSMUSG00000056234	Ncoa4	NM_001033988	
ENSMUSG00000032058	Ppp2r1b	NM_001034085	
ENSMUSG00000022270	Fam134b	NM_001034851	
ENSMUSG00000051978	Erich1	NM_001034862	
ENSMUSG00000048503	Tmem136	NM_001034863	
ENSMUSG00000025006	Sorbs1	NM_001034964	
ENSMUSG00000021556	Golm1	NM_001035122	
ENSMUSG00000031671	Setd6	NM_001035123	
ENSMUSG00000056091	St3gal5	NM_001035228	
ENSMUSG00000095432	Zfp748	NM_001035231	
ENSMUSG00000038729	Akap2	NM_001035532	
ENSMUSG00000038729	Akap2	NM_001035533	
ENSMUSG00000035152	Ap2b1	NM_001035854	
ENSMUSG00000075000	Nrbf2	NM_001036293	
ENSMUSG00000028212	Ccne2	NM_001037134	
ENSMUSG00000005674	Tomm40l	NM_001037170	
ENSMUSG00000027544	Nfatc2	NM_001037177	
ENSMUSG00000021838	Samd4	NM_001037221	
ENSMUSG00000032845	Alpk2	NM_001037294	
ENSMUSG00000014444	Piezo1	NM_001037298	
ENSMUSG00000047746	Fbxo40	NM_001037321	
ENSMUSG00000044712	Slc38a6	NM_001037717	
ENSMUSG00000028041	Adam15	NM_001037722	
ENSMUSG00000041040	Fam117b	NM_001037725	
ENSMUSG00000015522	Arnt	NM_001037737	
ENSMUSG00000075706	Gpx4	NM_001037741	
ENSMUSG00000079104	Prps1l3	NM_001037746	
ENSMUSG00000012076	Brms1l	NM_001037756	
ENSMUSG00000028745	Capzb	NM_001037761	
ENSMUSG00000015335	Zdhhc12	NM_001037762	
ENSMUSG00000062115	Rai1	NM_001037764	
ENSMUSG00000020166	Cnot2	NM_001037846	
ENSMUSG00000024621	Csf1r	NM_001037859	
ENSMUSG00000001472	Tcf25	NM_001037877	
ENSMUSG00000001472	Tcf25	NM_001037878	
ENSMUSG00000028461	Ccdc107	NM_001037913	
ENSMUSG00000022210	Dhrs4	NM_001037938	
ENSMUSG00000029131	Dnajb6	NM_001037940	
ENSMUSG00000069255	Dusp22	NM_001037955	
ENSMUSG00000002409	Dyrk1b	NM_001037957	
ENSMUSG00000000127	Fer	NM_001037997	
ENSMUSG00000020918	Kat2a	NM_001038010	
ENSMUSG00000029209	Gnpda2	NM_001038015	
ENSMUSG00000025135	Anapc11	NM_001038230	
ENSMUSG00000024844	Banf1	NM_001038231	
ENSMUSG00000017760	Ctsa	NM_001038492	
ENSMUSG00000018196	Glrx2	NM_001038592	
ENSMUSG00000026721	Rabgap1l	NM_001038621	
ENSMUSG00000049800	Sertad2	NM_001038625	
ENSMUSG00000043004	Gng2	NM_001038637	
ENSMUSG00000032035	Ets1	NM_001038642	
ENSMUSG00000025790	Slco3a1	NM_001038643	
ENSMUSG00000025161	Slc16a3	NM_001038653	
ENSMUSG00000063358	Mapk1	NM_001038663	
ENSMUSG00000038811	Gngt2	NM_001038664	
ENSMUSG00000053470	Kdm3a	NM_001038695	
ENSMUSG00000027981	Rnpc3	NM_001038696	
ENSMUSG00000075415	Fnbp1	NM_001038700	
ENSMUSG00000040723	Rcsd1	NM_001038846	
ENSMUSG00000035696	Rnf38	NM_001038993	
ENSMUSG00000028643	Ccdc23	NM_001038998	
ENSMUSG00000028834	Trim63	NM_001039048	
ENSMUSG00000021798	Ldb3	NM_001039071	
ENSMUSG00000021798	Ldb3	NM_001039072	
ENSMUSG00000021798	Ldb3	NM_001039074	
ENSMUSG00000021798	Ldb3	NM_001039076	
ENSMUSG00000040043	Rbms2	NM_001039080	
ENSMUSG00000028522	Mier1	NM_001039081	
ENSMUSG00000039844	Rapgef1	NM_001039087	
ENSMUSG00000079614	Seh1l	NM_001039088	
ENSMUSG00000020964	Sel1l	NM_001039089	
ENSMUSG00000000538	Tom1l2	NM_001039092	
ENSMUSG00000046434	Hnrnpa1	NM_001039129	
ENSMUSG00000063253	Scoc	NM_001039137	
ENSMUSG00000021820	Camk2g	NM_001039139	
ENSMUSG00000062270	Morf4l1	NM_001039147	
ENSMUSG00000005087	Cd44	NM_001039151	
ENSMUSG00000063146	Clip2	NM_001039162	
ENSMUSG00000026254	Eif4e2	NM_001039169	
ENSMUSG00000026254	Eif4e2	NM_001039170	
ENSMUSG00000037933	Bicd2	NM_001039179	
ENSMUSG00000037933	Bicd2	NM_001039180	
ENSMUSG00000033671	Cep350	NM_001039184	
ENSMUSG00000020085	Aifm2	NM_001039194	
ENSMUSG00000040721	Zfhx2	NM_001039198	
ENSMUSG00000078517	Emc1	NM_001039200	
ENSMUSG00000025421	Hdhd2	NM_001039201	
ENSMUSG00000078496	Gm13152	NM_001039209	
ENSMUSG00000037253	Mex3c	NM_001039214	
ENSMUSG00000002496	Tsc2	NM_001039363	
ENSMUSG00000031200	Mtcp1	NM_001039373	
ENSMUSG00000038170	Pde4dip	NM_001039376	
ENSMUSG00000006476	Nsmf	NM_001039387	
ENSMUSG00000035268	Pkig	NM_001039390	
ENSMUSG00000024498	Tcerg1	NM_001039474	
ENSMUSG00000026705	Klhl20	NM_001039482	
ENSMUSG00000052428	Tmco1	NM_001039483	
ENSMUSG00000041482	Piezo2	NM_001039485	
ENSMUSG00000056260	Lrif1	NM_001039488	
ENSMUSG00000026179	Pnkd	NM_001039509	
ENSMUSG00000023150	Ivns1abp	NM_001039511	
ENSMUSG00000060038	Dhps	NM_001039514	
ENSMUSG00000033543	Gtf2a2	NM_001039519	
ENSMUSG00000033335	Dnm2	NM_001039520	
ENSMUSG00000022682	Rrn3	NM_001039521	
ENSMUSG00000042487	Leo1	NM_001039522	
ENSMUSG00000022680	Pdxdc1	NM_001039533	
ENSMUSG00000063179	Pstk	NM_001039534	
ENSMUSG00000014245	Pigl	NM_001039536	
ENSMUSG00000048416	Mlf1	NM_001039543	
ENSMUSG00000033196	Myh2	NM_001039545	
ENSMUSG00000033577	Myo6	NM_001039546	
ENSMUSG00000036552	Ermard	NM_001039552	
ENSMUSG00000028989	Angptl7	NM_001039554	
ENSMUSG00000078773	Rad54b	NM_001039556	
ENSMUSG00000050914	Ankrd37	NM_001039562	
ENSMUSG00000011832	Evi5l	NM_001039578	
ENSMUSG00000043019	Edem3	NM_001039644	
ENSMUSG00000038271	Iffo1	NM_001039669	
ENSMUSG00000054434	Tmem120b	NM_001039723	
ENSMUSG00000079677	Fdx1l	NM_001039824	
ENSMUSG00000030374	Strn4	NM_001039878	
ENSMUSG00000042548	Asxl1	NM_001039939	
ENSMUSG00000069844	Sco1	NM_001040026	
ENSMUSG00000075592	Nynrin	NM_001040072	
ENSMUSG00000057230	Aak1	NM_001040106	
ENSMUSG00000032812	Arap1	NM_001040112	
ENSMUSG00000055065	Ddx17	NM_001040187	
ENSMUSG00000022253	Nadk2	NM_001040395	
ENSMUSG00000075700	Selt	NM_001040396	
ENSMUSG00000025762	Larp1b	NM_001040399	
ENSMUSG00000040943	Tet2	NM_001040400	
