Gene stable ID	Gene name	Human gene stable ID	Human gene name
ENSMUSG00000032294	Pkm	ENSG00000067225	PKM
ENSMUSG00000041957	Pkp2	ENSG00000057294	PKP2
ENSMUSG00000021701	Plk2	ENSG00000145632	PLK2
ENSMUSG00000014956	Ppp1cb	ENSG00000213639	PPP1CB
ENSMUSG00000019907	Ppp1r12a	ENSG00000058272	PPP1R12A
ENSMUSG00000020349	Ppp2ca	ENSG00000113575	PPP2CA
ENSMUSG00000005469	Prkaca	ENSG00000072062	PRKACA
ENSMUSG00000014769	Psmb1	ENSG00000008018	PSMB1
ENSMUSG00000002102	Psmc3	ENSG00000165916	PSMC3
ENSMUSG00000027864	Ptgfrn	ENSG00000134247	PTGFRN
ENSMUSG00000029838	Ptn	ENSG00000105894	PTN
ENSMUSG00000020674	Pxdn	ENSG00000130508	PXDN
ENSMUSG00000033059	Pygb	ENSG00000100994	PYGB
ENSMUSG00000062078	Qk	ENSG00000112531	QKI
ENSMUSG00000023460	Rab12	ENSG00000206418	RAB12
ENSMUSG00000047187	Rab2a	ENSG00000104388	RAB2A
ENSMUSG00000004451	Ralb	ENSG00000144118	RALB
ENSMUSG00000032387	Rbpms2	ENSG00000166831	RBPMS2
ENSMUSG00000005973	Rcn1	ENSG00000285283	
ENSMUSG00000005973	Rcn1	ENSG00000049449	RCN1
ENSMUSG00000032050	Rdx	ENSG00000137710	RDX
ENSMUSG00000060036	Rpl3	ENSG00000100316	RPL3
ENSMUSG00000026727	Rsu1	ENSG00000148484	RSU1
ENSMUSG00000020458	Rtn4	ENSG00000115310	RTN4
ENSMUSG00000028249	Sdcbp	ENSG00000137575	SDCBP
ENSMUSG00000030082	Sec61a1	ENSG00000058262	SEC61A1
ENSMUSG00000036371	Serbp1	ENSG00000142864	SERBP1
ENSMUSG00000040666	Sh3bgr	ENSG00000285815	GET1-SH3BGR
ENSMUSG00000040666	Sh3bgr	ENSG00000185437	SH3BGR
ENSMUSG00000028843	Sh3bgrl3	ENSG00000142669	SH3BGRL3
ENSMUSG00000031633	Slc25a4	ENSG00000151729	SLC25A4
ENSMUSG00000016319	Slc25a5	ENSG00000005022	SLC25A5
ENSMUSG00000028645	Slc2a1	ENSG00000117394	SLC2A1
ENSMUSG00000022462	Slc38a2	ENSG00000134294	SLC38A2
ENSMUSG00000022464	Slc38a4	ENSG00000139209	SLC38A4
ENSMUSG00000033419	Snap91	ENSG00000065609	SNAP91
ENSMUSG00000020180	Snrpd3	ENSG00000286070	
ENSMUSG00000020180	Snrpd3	ENSG00000100028	SNRPD3
ENSMUSG00000027423	Snx5	ENSG00000089006	SNX5
ENSMUSG00000018593	Sparc	ENSG00000113140	SPARC
ENSMUSG00000021134	Srsf5	ENSG00000100650	SRSF5
ENSMUSG00000030224	Strap	ENSG00000023734	STRAP
ENSMUSG00000022110	Sucla2	ENSG00000136143	SUCLA2
ENSMUSG00000014867	Surf4	ENSG00000148248	SURF4
ENSMUSG00000011114	Tbrg1	ENSG00000154144	TBRG1
ENSMUSG00000022757	Tfg	ENSG00000114354	TFG
ENSMUSG00000028328	Tmod1	ENSG00000136842	TMOD1
ENSMUSG00000024811	Tnks2	ENSG00000107854	TNKS2
ENSMUSG00000022427	Tomm22	ENSG00000100216	TOMM22
ENSMUSG00000070544	Top1	ENSG00000198900	TOP1
ENSMUSG00000017485	Top2b	ENSG00000077097	TOP2B
ENSMUSG00000023456	Tpi1	ENSG00000111669	TPI1
ENSMUSG00000005981	Trap1	ENSG00000126602	TRAP1
ENSMUSG00000022043	Trim35	ENSG00000104228	TRIM35
ENSMUSG00000038375	Trp53inp2	ENSG00000078804	TP53INP2
ENSMUSG00000022010	Tsc22d1	ENSG00000102804	TSC22D1
ENSMUSG00000032324	Tspan3	ENSG00000140391	TSPAN3
ENSMUSG00000043091	Tuba1c	ENSG00000167553	TUBA1C
ENSMUSG00000028567	Txndc12	ENSG00000117862	TXNDC12
ENSMUSG00000038393	Txnip	ENSG00000265972	TXNIP
ENSMUSG00000029223	Uchl1	ENSG00000154277	UCHL1
ENSMUSG00000001891	Ugp2	ENSG00000169764	UGP2
ENSMUSG00000032267	Usp28	ENSG00000048028	USP28
ENSMUSG00000059263	Usp47	ENSG00000170242	USP47
ENSMUSG00000020402	Vdac1	ENSG00000213585	VDAC1
ENSMUSG00000021771	Vdac2	ENSG00000165637	VDAC2
ENSMUSG00000030189	Ybx3	ENSG00000060138	YBX3
ENSMUSG00000051391	Ywhag	ENSG00000170027	YWHAG
ENSMUSG00000021127	Zfp36l1	ENSG00000185650	ZFP36L1
