# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
H3K4me3Heart_30	Cops5 (-1827), Cspp1 (+1736)
H3K4me3Heart_12087	Cradd (-91750), Socs2 (+1010)
H3K4me3Heart_12095	Btg1 (-245733), Eea1 (+430605)
H3K4me3Heart_12099	Dcn (-443749), Btg1 (+418861)
H3K4me3Heart_12106	Galnt4 (+8112), Phxr2 (+10050)
H3K4me3Heart_12107	Dusp6 (-91025), Phxr2 (-45885)
H3K4me3Heart_12110	Dusp6 (+21510), Csl (+474917)
H3K4me3Heart_12114	Csl (+137412), Dusp6 (+359015)
H3K4me3Heart_12143	Zdhhc17 (+23256), Csrp2 (+66634)
H3K4me3Heart_12156	Krr1 (-435399), Phlda1 (+30979)
H3K4me3Heart_12158	Krr1 (-71300), Phlda1 (+395078)
H3K4me3Heart_12173	4933416C03Rik (-161731), Ptprb (-25726)
H3K4me3Heart_12179	Cnot2 (-146557), Myrfl (+168822)
H3K4me3Heart_12180	Myrfl (-48457), Rab3ip (+5044)
H3K4me3Heart_12182	Best3 (+540)
H3K4me3Heart_12183	Lrrc10 (-21255), Best3 (+37772)
H3K4me3Heart_12186	Cct2 (-82833), Frs2 (+1827)
H3K4me3Heart_12211	Grip1 (-408295), Cand1 (-171162)
H3K4me3Heart_12213	Cand1 (-394531), Grip1 (-184926)
H3K4me3Heart_12216	Helb (+133291), Grip1 (+160184)
H3K4me3Heart_12221	Llph (+6912), Hmga2 (+242487)
H3K4me3Heart_12223	Hmga2 (+99053), Llph (+150346)
H3K4me3Heart_12226	Hmga2 (-218150), Msrb3 (+204482)
H3K4me3Heart_12230	Hmga2 (-284485), Msrb3 (+138147)
H3K4me3Heart_12231	Hmga2 (-396111), Msrb3 (+26521)
H3K4me3Heart_12232	Hmga2 (-400643), Msrb3 (+21989)
H3K4me3Heart_12234	Hmga2 (-419739), Msrb3 (+2893)
H3K4me3Heart_12246	Rassf3 (-34255), Tbk1 (+76289)
H3K4me3Heart_12265	Mon2 (+92471), Ppm1h (+305252)
H3K4me3Heart_12267	Mon2 (+85702), Ppm1h (+312021)
H3K4me3Heart_12282	Cyp27b1 (+1074), March9 (+10860)
H3K4me3Heart_12288	Agap2 (+2853), Os9 (+39400)
H3K4me3Heart_12294	Slc26a10 (-2592)
H3K4me3Heart_12301	Mbd6 (-4184), Ddit3 (+2300)
H3K4me3Heart_12310	Shmt2 (-4270)
H3K4me3Heart_12314	Nab2 (+4849), Stat6 (+18875)
H3K4me3Heart_12319	Gpr182 (-4379), Rdh9 (-3676), Rdh1 (-3610)
H3K4me3Heart_12332	Apon (-6497), Timeless (+15569)
H3K4me3Heart_12348	Pa2g4 (-17746), Erbb3 (+5972)
H3K4me3Heart_12360	Gdf11 (+2599), Sarnp (+67348)
H3K4me3Heart_12374	Limk2 (+34460), Pik3ip1 (+44313)
H3K4me3Heart_12400	Gm11032 (+196)
H3K4me3Heart_12430	Myl7 (+568)
H3K4me3Heart_12450	Adcy1 (-382916), Ramp3 (+22052)
H3K4me3Heart_12451	Adcy1 (-139300), Ramp3 (+265668)
H3K4me3Heart_12457	Tns3 (+35591)
H3K4me3Heart_12461	Upp1 (-1840)
H3K4me3Heart_12467	Fignl1 (-78232), Ddc (+10853)
H3K4me3Heart_12468	Fignl1 (-79837), Ddc (+9248)
H3K4me3Heart_12469	Ddc (-133670), Grb10 (+5687)
H3K4me3Heart_12472	Grb10 (-272249), Cobl (+155307)
H3K4me3Heart_12473	Grb10 (-397752), Cobl (+29804)
H3K4me3Heart_12484	C1d (+203429), Etaa1 (+492852)
H3K4me3Heart_12486	Etaa1 (-57604)
H3K4me3Heart_12491	Meis1 (+60978)
H3K4me3Heart_12493	Meis1 (+8255)
H3K4me3Heart_12494	Meis1 (+2389)
H3K4me3Heart_12509	Sertad2 (+96875), Aftph (+101380)
H3K4me3Heart_12513	Peli1 (-231750), Lgalsl (-28485)
H3K4me3Heart_12517;H3K4me3Heart_12518	Wdpcp (-2467), Mdh1 (+2425)
H3K4me3Heart_12522	Otx1 (-3173)
H3K4me3Heart_12523	Otx1 (-6705), Ehbp1 (+277518)
H3K4me3Heart_12524	Otx1 (-169671), Ehbp1 (+114552)
H3K4me3Heart_12548	A830031A19Rik (-1637), Bcl11a (-1482)
H3K4me3Heart_12552	5730522E02Rik (+481893)
H3K4me3Heart_12555	Fancl (-536813), 5730522E02Rik (-78752)
H3K4me3Heart_12574	Sptbn1 (-67933), 4930505A04Rik (+205618)
H3K4me3Heart_12602	Smim23 (-275652), Fgf18 (+47143)
H3K4me3Heart_12611	Kcnmb1 (+418)
H3K4me3Heart_12614	Slit3 (-275136), Spdl1 (-12447)
H3K4me3Heart_12615	Spdl1 (-173526), Slit3 (-114057)
H3K4me3Heart_12621	Rars (-39613), Wwc1 (+106408)
H3K4me3Heart_12655	Ebf1 (+79553)
H3K4me3Heart_12662	Adam19 (-3677), Gm12166 (-4)
H3K4me3Heart_12672	Rack1 (-9787)
H3K4me3Heart_12680	Irgm1 (+15388), Trim7 (+18521)
H3K4me3Heart_12681	Irgm1 (+1043), Trim7 (+32866)
H3K4me3Heart_12685	Olfr1393 (-34448), Mgat1 (+1456)
H3K4me3Heart_12697	Mgat4b (+5883), Ltc4s (+7314)
H3K4me3Heart_12717	Phykpl (-293351), Col23a1 (+1518)
H3K4me3Heart_12727	Sar1b (+37362), Jade2 (+56604)
H3K4me3Heart_12766	P4ha2 (+1658), Csf2 (+147046)
H3K4me3Heart_12775	Tnip1 (-60468), Anxa6 (+10065)
H3K4me3Heart_12787	Hand1 (+495)
H3K4me3Heart_12788	Larp1 (-171752), Hand1 (-5165)
H3K4me3Heart_12791	Cnot8 (-11065), Larp1 (+84024)
H3K4me3Heart_12799	Zfp692 (-5692), 4930438A08Rik (+26681)
H3K4me3Heart_12815	Trim11 (+21033), Obscn (+137227)
H3K4me3Heart_12816	Trim11 (+25175), Obscn (+133085)
H3K4me3Heart_12818	Obscn (-2777)
H3K4me3Heart_12820	Iba57 (-12990), Gjc2 (+6484)
H3K4me3Heart_12831	Mprip (+45802), Pld6 (+79333)
H3K4me3Heart_12851	Llgl1 (-159539), Alkbh5 (+2206)
H3K4me3Heart_12865	Aldh3a2 (-34004), Slc47a2 (+41671)
H3K4me3Heart_12900	Fbxw10 (-25073), Trim16 (+1765)
H3K4me3Heart_12904	Pmp22 (-1925)
H3K4me3Heart_12914	Elac2 (-21914), Hs3st3a1 (+521792)
H3K4me3Heart_12916	1700086D15Rik (+34814), Elac2 (+146038)
H3K4me3Heart_12919;H3K4me3Heart_12920	Myocd (-95513), Map2k4 (+422843)
H3K4me3Heart_12925	Pirt (+190)
H3K4me3Heart_12969	Gucy2e (-8909), Cntrob (+77844)
H3K4me3Heart_12970	Gucy2e (-29375), Cntrob (+57378)
H3K4me3Heart_12979	Kdm6b (-38815), Dnah2 (+96618)
H3K4me3Heart_12983	Trp53 (-1233), Wrap53 (+198)
H3K4me3Heart_13073	Rap1gap2 (+63305), Olfr412 (+162210)
H3K4me3Heart_13079	Pafah1b1 (+2532), Cluh (+72623)
H3K4me3Heart_13086	Srr (-87219), Hic1 (+156352)
H3K4me3Heart_13111	Rph3al (+355)
H3K4me3Heart_13129	Tusc5 (+20356), Gosr1 (+63415)
H3K4me3Heart_13158	Fam222b (+2312), Traf4 (+68617)
H3K4me3Heart_13204	Cdk5r1 (+31785), Myo1d (+271194)
H3K4me3Heart_13208	Spaca3 (-39959), Tmem98 (+8238)
H3K4me3Heart_13219	Nle1 (-3233), Unc45b (+1094)
H3K4me3Heart_13235	Hnf1b (-802)
H3K4me3Heart_13242	Aatf (-9307), Lhx1 (+3186)
H3K4me3Heart_13257	Tbx2 (-2382)
H3K4me3Heart_13261	Tbx4 (-1617)
H3K4me3Heart_13281	Trim37 (+89577), Ppm1e (+142369)
H3K4me3Heart_13305	Srsf1 (-37183), Dynll2 (-22657)
H3K4me3Heart_13307	Vezf1 (+729)
H3K4me3Heart_13311	Mrps23 (-34432), Cuedc1 (+70810)
H3K4me3Heart_13312	Mrps23 (-10686), Cuedc1 (+94556)
H3K4me3Heart_13314	Ccdc182 (-41764), Mrps23 (+47891)
H3K4me3Heart_13317	Msi2 (-102895), Akap1 (+42721)
H3K4me3Heart_13318	Msi2 (-130998), Akap1 (+14618)
H3K4me3Heart_13335	Mmd (+2996), Hlf (+138423)
H3K4me3Heart_13361	Mycbpap (-22843), Rsad1 (+4614)
H3K4me3Heart_13370	Tmem92 (-100327), Col1a1 (-53397)
H3K4me3Heart_13373	Sgca (+3143), Hils1 (+5523)
H3K4me3Heart_13381	Dlx3 (+1585), Dlx4 (+24589)
H3K4me3Heart_13384	Dlx4 (-85721), Tac4 (-29545)
H3K4me3Heart_13401	B4galnt2 (+106)
H3K4me3Heart_13416	Hoxb2 (-5590), Hoxb3 (+22716)
H3K4me3Heart_13427	Copz2 (+13646), Cdk5rap3 (+52974)
H3K4me3Heart_13437	Scrn2 (-3871)
H3K4me3Heart_13449	Gpr179 (+12989), Mrpl45 (+23311)
H3K4me3Heart_13473	Lasp1 (+5449), Fbxo47 (+79140)
H3K4me3Heart_13478	Arl5c (-6781), Cacnb1 (+19672)
H3K4me3Heart_13488	Neurod2 (+2201), Cdk12 (+124112)
H3K4me3Heart_13490	Neurod2 (-12933), Ppp1r1b (-5823)
H3K4me3Heart_13491	Ppp1r1b (-2840)
H3K4me3Heart_13494	Pnmt (-2314), Tcap (+325)
H3K4me3Heart_13512	Nr1d1 (-10905), Msl1 (-9278)
H3K4me3Heart_13526	Ccr7 (-331)
H3K4me3Heart_13540	Cnp (-18983), Ttc25 (+10314)
H3K4me3Heart_13549	Rab5c (+1814), Hspb9 (+22551)
H3K4me3Heart_13569	Plekhh3 (+7061), Tubg2 (+8383)
H3K4me3Heart_13599	Etv4 (-5826), Meox1 (+103177)
H3K4me3Heart_13600	Etv4 (-35752), Meox1 (+73251)
H3K4me3Heart_13606	Sost (+491)
H3K4me3Heart_13613	Pyy (-30629), Nags (-7088)
H3K4me3Heart_13640	Meioc (+712)
H3K4me3Heart_13646	Gjc1 (+3141), Adam11 (+55120)
H3K4me3Heart_13677	Gosr2 (-23887), Wnt9b (+28036)
H3K4me3Heart_13691	Itgb3 (-30412), Myl4 (+26925)
H3K4me3Heart_13695	Tlk2 (+741)
H3K4me3Heart_13728	Nol11 (-12642), Pitpnc1 (+268676)
H3K4me3Heart_13732	Helz (-37393), Psmd12 (+31083)
H3K4me3Heart_13750	Prkar1a (-28163), Wipi1 (-11326)
H3K4me3Heart_13752	Prkar1a (+2553), Fam20a (+68782)
H3K4me3Heart_13764	Kcnj2 (+2551)
H3K4me3Heart_13767	Sox9 (+58384), Slc39a11 (+725160)
H3K4me3Heart_13768	Sox9 (+305053), Slc39a11 (+478491)
H3K4me3Heart_13774	Slc39a11 (-46537), Sstr2 (-7171)
H3K4me3Heart_13780	Cdc42ep4 (-60620), Sdk2 (+254280)
H3K4me3Heart_13783	Rpl38 (-502402), Sdk2 (-99904)
H3K4me3Heart_13784	Rpl38 (-469709), Sdk2 (-132597)
H3K4me3Heart_13807	Mrpl58 (-9985), Cdr2l (+11851)
H3K4me3Heart_13820	Slc25a19 (-70271), Grb2 (+10181)
H3K4me3Heart_13850	Foxj1 (-52043), Rnf157 (+25562)
H3K4me3Heart_13863	St6galnac1 (-46117), Mxra7 (+6422)
H3K4me3Heart_13903	Cant1 (-4604)
H3K4me3Heart_13905	C1qtnf1 (+210)
H3K4me3Heart_13914	Cbx8 (-4145)
H3K4me3Heart_13918	Cbx8 (-38251), Cbx4 (+7001)
H3K4me3Heart_13939	Aatk (+35037), Baiap2 (+69345)
H3K4me3Heart_13945	Bahcc1 (-67996), Slc38a10 (-13605)
H3K4me3Heart_13948	Slc38a10 (-69654), Bahcc1 (-11947)
H3K4me3Heart_13949	Slc38a10 (-74194), Bahcc1 (-7407)
H3K4me3Heart_13951	Bahcc1 (-545)
H3K4me3Heart_13953	Bahcc1 (+7392), Actg1 (+108203)
H3K4me3Heart_14044	Nt5c1b (-789291), Osr1 (+6311)
H3K4me3Heart_14048	Kcns3 (-45383), Msgn1 (+12723)
H3K4me3Heart_14049	Kcns3 (-53477), Msgn1 (+4629)
H3K4me3Heart_14050	Msgn1 (-15884), Gen1 (+40955)
H3K4me3Heart_14053	Vsnl1 (-1433)
H3K4me3Heart_14058	Fam49a (+139431), Mycn (+540344)
H3K4me3Heart_14062	Mycn (+131533), Fam49a (+548242)
H3K4me3Heart_14070	Trib2 (-369267), Lpin1 (+403718)
H3K4me3Heart_14097	Ywhaq (-9233)
H3K4me3Heart_14109	Kidins220 (-10984), Mboat2 (+132349)
H3K4me3Heart_14113	Id2 (-4792)
H3K4me3Heart_14124	Colec11 (+66)
H3K4me3Heart_14158	Cdhr3 (+57033), Sypl (+81951)
H3K4me3Heart_14160	Cdhr3 (+31164), Sypl (+107820)
H3K4me3Heart_14161	Atxn7l1 (-183372), Cdhr3 (-26268)
