# GREAT version 4.0.4	Species assembly: mm9	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
1110002E22Rik	H3K4me3Heart_3805 (-63838)
4921524J17Rik	H3K4me3Heart_9707 (+53637)
4921524L21Rik	H3K4me3Heart_18863 (-89603)
4930402F06Rik	H3K4me3Heart_1600 (-35033)
4930412O13Rik	H3K4me3Heart_1239 (-3788)
4930438A08Rik	H3K4me3Heart_12799 (+26681)
4930444G20Rik	H3K4me3Heart_11400 (+130675)
4930447A16Rik	H3K4me3Heart_16543 (+308771)
4930505A04Rik	H3K4me3Heart_12574 (+205618)
4930539E08Rik	H3K4me3Heart_18199 (+5675)
4930546C10Rik	H3K4me3Heart_19315 (-247039)
4930550C14Rik	H3K4me3Heart_10530 (+103041)
4930558K02Rik	H3K4me3Heart_884 (-333996), H3K4me3Heart_883 (-241143), H3K4me3Heart_881 (-140981)
4930564D02Rik	H3K4me3Heart_3573 (+308880)
4931414P19Rik	H3K4me3Heart_15974 (+10640)
4932438H23Rik	H3K4me3Heart_17797 (-101002)
4933402J07Rik	H3K4me3Heart_9725 (+375374)
4933412E24Rik	H3K4me3Heart_16644 (+256621), H3K4me3Heart_16643 (+335871)
4933415F23Rik	H3K4me3Heart_78 (-169466)
4933416C03Rik	H3K4me3Heart_12173 (-161731)
5730480H06Rik	H3K4me3Heart_5561 (+137184)
5730508B09Rik	H3K4me3Heart_3729 (-17918)
5730522E02Rik	H3K4me3Heart_12555 (-78752), H3K4me3Heart_12552 (+481893)
6030498E09Rik	H3K4me3Heart_20297 (+210)
6430573F11Rik	H3K4me3Heart_9291 (+151105), H3K4me3Heart_9294 (+288611), H3K4me3Heart_9295 (+322496)
8030423J24Rik	H3K4me3Heart_15366 (+574509)
9230102O04Rik	H3K4me3Heart_1242 (-12330)
9230109A22Rik	H3K4me3Heart_16459 (-209779)
9830107B12Rik	H3K4me3Heart_18520 (+48774)
A730049H05Rik	H3K4me3Heart_7163 (+11281)
A830005F24Rik	H3K4me3Heart_15134 (+38873)
A830031A19Rik	H3K4me3Heart_12548 (-1637)
AW209491	H3K4me3Heart_14817 (+796154)
Aaed1	H3K4me3Heart_15311 (+2202)
Aasdh	H3K4me3Heart_5715 (-23102), H3K4me3Heart_5713 (+29094), H3K4me3Heart_5711 (+39533), H3K4me3Heart_5709 (+202531)
Aatf	H3K4me3Heart_13242 (-9307)
Aatk	H3K4me3Heart_13939 (+35037)
Abca15	H3K4me3Heart_8717 (-1177)
Abcb5	H3K4me3Heart_14758 (+117885)
Abcc2	H3K4me3Heart_19928 (+112293)
Abcc4	H3K4me3Heart_16347 (+111654), H3K4me3Heart_16342 (+320548)
Abcc8	H3K4me3Heart_8208 (+81865)
Abcd2	H3K4me3Heart_16996 (+162609)
Abcd3	H3K4me3Heart_3679;H3K4me3Heart_3680 (-75866)
Abcg3	H3K4me3Heart_5862 (+72)
Abhd11	H3K4me3Heart_6293 (+3139)
Abhd17a	H3K4me3Heart_11885 (+3084)
Abhd2	H3K4me3Heart_8372 (+2294), H3K4me3Heart_8373 (+85830), H3K4me3Heart_8374 (+86891)
Abhd8	H3K4me3Heart_9537 (+115)
Abra	H3K4me3Heart_16575 (+515), H3K4me3Heart_16573 (+49716), H3K4me3Heart_16571 (+117971)
Abt1	H3K4me3Heart_14910 (-8672)
Abtb2	H3K4me3Heart_2035 (+2924), H3K4me3Heart_2036 (+37376)
Acacb	H3K4me3Heart_5983 (+337), H3K4me3Heart_5984 (+27524)
Acbd6	H3K4me3Heart_829 (-31145)
Acer3	H3K4me3Heart_8514 (+41328)
Acp6	H3K4me3Heart_3485 (-82242)
Acsl1	H3K4me3Heart_9344 (+28389)
Acsm3	H3K4me3Heart_8712 (-20954)
Acta1	H3K4me3Heart_10101 (+628)
Actc1	H3K4me3Heart_2101 (-4687)
Actg1	H3K4me3Heart_13953 (+108203)
Actl6a	H3K4me3Heart_2966 (-49525)
Actn2	H3K4me3Heart_14798 (-28753), H3K4me3Heart_14796 (+2568), H3K4me3Heart_14795 (+5719)
Actr6	H3K4me3Heart_12033 (+23447)
Acvr1	H3K4me3Heart_1705 (+50696)
Acvr1c	H3K4me3Heart_1705 (-158235)
Adam11	H3K4me3Heart_13646 (+55120)
Adam19	H3K4me3Heart_12662 (-3677)
Adam30	H3K4me3Heart_3506 (-117881)
Adam32	H3K4me3Heart_9182 (+27483)
Adam34	H3K4me3Heart_9319 (-995024)
Adam5	H3K4me3Heart_9182 (-97262)
Adam6a	H3K4me3Heart_14737 (+835043)
Adamts17	H3K4me3Heart_8295 (+203913)
Adamts20	H3K4me3Heart_17017 (+358837)
Adamts6	H3K4me3Heart_15578 (+864)
Adamts9	H3K4me3Heart_7164 (+33790)
Adck1	H3K4me3Heart_14546 (-5925), H3K4me3Heart_14548 (+362455)
Adcy1	H3K4me3Heart_12450 (-382916), H3K4me3Heart_12451 (-139300)
Adcy10	H3K4me3Heart_912 (+133280)
Add3	H3K4me3Heart_20052 (-52905), H3K4me3Heart_20053 (-34691)
Adgra2	H3K4me3Heart_9216 (-23628)
Adgrb2	H3K4me3Heart_4774 (+21646), H3K4me3Heart_4775 (+52076)
Adgrd1	H3K4me3Heart_6244 (+318988), H3K4me3Heart_6245 (+358244)
Adgrf1	H3K4me3Heart_18421 (+92203)
Adgrf5	H3K4me3Heart_18421 (-26934), H3K4me3Heart_18422 (+453)
Adgrl3	H3K4me3Heart_5733 (-603088)
Adgrv1	H3K4me3Heart_15426 (+281490)
Adk	H3K4me3Heart_15746 (+24964)
Adnp	H3K4me3Heart_2712 (+100202), H3K4me3Heart_2711 (+124135)
Adprhl1	H3K4me3Heart_9116 (+282)
Adra2b	H3K4me3Heart_2271 (+7748)
Adrb1	H3K4me3Heart_20093 (+3029), H3K4me3Heart_20094 (+5012), H3K4me3Heart_20096 (+54716)
Adsl	H3K4me3Heart_16853 (-147450)
Aebp2	H3K4me3Heart_7521 (-108481), H3K4me3Heart_7524 (+43329)
Afap1	H3K4me3Heart_5495 (+28583)
Aff3	H3K4me3Heart_153 (+321346)
Aftph	H3K4me3Heart_12509 (+101380)
Agap1	H3K4me3Heart_496 (-361909), H3K4me3Heart_499 (+202204), H3K4me3Heart_500 (+296164), H3K4me3Heart_501 (+468059), H3K4me3Heart_503 (+474245)
Agap2	H3K4me3Heart_12288 (+2853)
Agbl1	H3K4me3Heart_8360 (+892962)
Agbl5	H3K4me3Heart_5408 (+17365)
Agl	H3K4me3Heart_3652;H3K4me3Heart_3653 (+2490)
Agpat4	H3K4me3Heart_17941 (-146586)
Agtpbp1	H3K4me3Heart_15267 (+483160)
Agtr1a	H3K4me3Heart_14980 (+9196), H3K4me3Heart_14981 (+185232)
Ahdc1	H3K4me3Heart_4833 (+83958)
Ahrr	H3K4me3Heart_15391 (+109)
Aig1	H3K4me3Heart_11350 (+303990)
Ajuba	H3K4me3Heart_15974 (-17852)
Ak2	H3K4me3Heart_4733 (+40220)
Akap1	H3K4me3Heart_13318 (+14618), H3K4me3Heart_13317 (+42721)
Akap12	H3K4me3Heart_11294 (+80557)
Akap13	H3K4me3Heart_8353 (+158026), H3K4me3Heart_8354 (+159461)
Akap2	H3K4me3Heart_4245 (-213738)
Akap6	H3K4me3Heart_14231 (+91083), H3K4me3Heart_14232 (+155563), H3K4me3Heart_14233 (+334062)
Akp3	H3K4me3Heart_480 (+29525)
Akt2	H3K4me3Heart_7907 (-30949)
Akt3	H3K4me3Heart_1032 (+57)
Aktip	H3K4me3Heart_9759 (-153028)
Alcam	H3K4me3Heart_17673 (+3562)
Aldh1b1	H3K4me3Heart_4162 (-207411)
Aldh3a2	H3K4me3Heart_12865 (-34004)
Aldoart2	H3K4me3Heart_14254 (-60962)
Alg3	H3K4me3Heart_17421 (+19390)
Alkbh1	H3K4me3Heart_14543 (+35885)
Alkbh5	H3K4me3Heart_12851 (+2206)
Alpk2	H3K4me3Heart_19270 (+99), H3K4me3Heart_19269 (+2307), H3K4me3Heart_19268 (+44704), H3K4me3Heart_19267 (+309957), H3K4me3Heart_19265 (+370113)
Alpk3	H3K4me3Heart_8420 (+123)
Alx4	H3K4me3Heart_1999 (+53759)
Alyref2	H3K4me3Heart_989 (-61031), H3K4me3Heart_991 (-1580)
Amer2	H3K4me3Heart_16068 (+128273)
Amh	H3K4me3Heart_11897 (+3761), H3K4me3Heart_11898 (+5205)
Amigo2	H3K4me3Heart_17044 (-129829)
Ammecr1	H3K4me3Heart_20694 (+140648)
Anapc7	H3K4me3Heart_6150;H3K4me3Heart_6151 (+76050)
Angptl1	H3K4me3Heart_850 (-59218)
Angptl8	H3K4me3Heart_10247 (-31164)
Ank	H3K4me3Heart_16472 (-60750)
Ank1	H3K4me3Heart_9169 (+157385)
Ank2	H3K4me3Heart_3711 (+715519)
Ank3	H3K4me3Heart_11720 (+83681)
Ankrd1	H3K4me3Heart_19837 (-9663), H3K4me3Heart_19836 (+345), H3K4me3Heart_19835 (+4479)
Ankrd13d	H3K4me3Heart_19476 (-19044)
Ankrd28	H3K4me3Heart_15826 (-61289)
Ankrd33	H3K4me3Heart_17148 (-17599)
Ankrd33b	H3K4me3Heart_16490 (-50472)
Ankrd50	H3K4me3Heart_3015 (+124919)
Ankrd55	H3K4me3Heart_15631 (+151664)
Ankrd6	H3K4me3Heart_4046 (+33839)
Ano6	H3K4me3Heart_17025 (+80949), H3K4me3Heart_17026 (+344587), H3K4me3Heart_17027 (+379156)
Anp32e	H3K4me3Heart_3433 (+31898)
Anxa10	H3K4me3Heart_9424 (-161321)
Anxa6	H3K4me3Heart_12775 (+10065)
Aox2	H3K4me3Heart_266 (+11840)
Ap5m1	H3K4me3Heart_15916 (-75473)
Apbb2	H3K4me3Heart_5628 (+295034)
Apc	H3K4me3Heart_18990 (-102182)
Aph1a	H3K4me3Heart_3429 (+8711)
Aph1b	H3K4me3Heart_10722 (+46840)
Aplp2	H3K4me3Heart_10313 (-41720)
Apobec2	H3K4me3Heart_18523 (+218)
Apoc1	H3K4me3Heart_7813 (-4923)
Apol7a	H3K4me3Heart_16767 (+39857)
Apon	H3K4me3Heart_12332 (-6497)
Apoo	H3K4me3Heart_20492 (-894)
App	H3K4me3Heart_17758 (+39758)
Aqp4	H3K4me3Heart_18918 (-227)
Aqp7	H3K4me3Heart_4084 (-2910)
Arap1	H3K4me3Heart_8569 (+29875)
Arap3	H3K4me3Heart_19099 (-98731), H3K4me3Heart_19096 (+2738)
Arhgap25	H3K4me3Heart_7096 (+101703)
Arhgap26	H3K4me3Heart_19118 (-64025)
Arhgap29	H3K4me3Heart_3679;H3K4me3Heart_3680 (-62061)
Arhgap32	H3K4me3Heart_10320 (-118150)
Arhgap6	H3K4me3Heart_20801 (-16237)
Arhgdib	H3K4me3Heart_7505 (+10933)
Arhgef10	H3K4me3Heart_9132 (+84545)
Arhgef10l	H3K4me3Heart_5005 (-9312), H3K4me3Heart_5002 (+67110)
Arhgef11	H3K4me3Heart_3257 (+127897)
Arhgef16	H3K4me3Heart_5191 (-243051), H3K4me3Heart_5188 (+53311)
Arhgef19	H3K4me3Heart_5024 (+17307)
Arhgef2	H3K4me3Heart_3302 (-4497)
Arhgef28	H3K4me3Heart_15518 (+767197), H3K4me3Heart_15516 (+815433), H3K4me3Heart_15514 (+961627)
Arhgef3	H3K4me3Heart_15783 (-179282), H3K4me3Heart_15785 (+111)
Arhgef6	H3K4me3Heart_20372 (+13654)
Arhgef7	H3K4me3Heart_9097 (-27735)
Arid1a	H3K4me3Heart_4860 (-74623), H3K4me3Heart_4859 (-62904)
Arid1b	H3K4me3Heart_17888 (+12504), H3K4me3Heart_17889 (+63318)
Arid2	H3K4me3Heart_17025 (-415781), H3K4me3Heart_17026 (-152143), H3K4me3Heart_17027 (-117574)
Arid3a	H3K4me3Heart_11843 (+10091)
Arid3b	H3K4me3Heart_10597 (-64497)
Arl11	H3K4me3Heart_16085 (+21551)
Arl15	H3K4me3Heart_15649 (+86169)
Arl5a	H3K4me3Heart_1684 (-52837), H3K4me3Heart_1682 (+2022), H3K4me3Heart_1681 (+57693)
Arl5c	H3K4me3Heart_13478 (-6781)
Armc12	H3K4me3Heart_18191 (-19951)
Armc2	H3K4me3Heart_11516 (-12996)
Armcx4	H3K4me3Heart_20633 (-1102)
Arntl	H3K4me3Heart_8660 (-522245), H3K4me3Heart_8662 (-465310), H3K4me3Heart_8663 (-463726), H3K4me3Heart_8666 (-250526)
Arpc2	H3K4me3Heart_364 (+3363)
Arrb1	H3K4me3Heart_8537 (+35386)
Arrdc3	H3K4me3Heart_15426 (+467992)
Arrdc4	H3K4me3Heart_8312 (-761444)
Arsb	H3K4me3Heart_15478 (+84446)
Art3	H3K4me3Heart_5774 (-1133)
Arx	H3K4me3Heart_20478 (-216417)
Asb1	H3K4me3Heart_531 (+230137)
Asb15	H3K4me3Heart_6649 (+2379)
Asb18	H3K4me3Heart_507 (+22269)
Asb2	H3K4me3Heart_14611 (+115), H3K4me3Heart_14610 (+17960)
Asb4	H3K4me3Heart_6582 (+59781), H3K4me3Heart_6583 (+111605)
Ascc1	H3K4me3Heart_11628 (-37951)
Asf1a	H3K4me3Heart_11585 (-93353)
Asph	H3K4me3Heart_3956 (-162228), H3K4me3Heart_3953 (+26341)
Astn1	H3K4me3Heart_863 (+191864)
Astn2	H3K4me3Heart_4291 (+797313)
Asxl3	H3K4me3Heart_18934 (-1230)
Atf1	H3K4me3Heart_17125 (-119360), H3K4me3Heart_17126 (-28253)
Atf6b	H3K4me3Heart_18330 (+14099)
Atf7ip	H3K4me3Heart_7494 (+24671), H3K4me3Heart_7495 (+101797)
Atl2	H3K4me3Heart_18734 (-158647), H3K4me3Heart_18733 (-123205)
Atm	H3K4me3Heart_10530 (+28413)
Atoh8	H3K4me3Heart_6973 (+13159)
Atp11c	H3K4me3Heart_20388 (-125610)
Atp13a4	H3K4me3Heart_17488 (-19222)
Atp1a1	H3K4me3Heart_3528 (+8386)
Atp1a4	H3K4me3Heart_1001 (+14286)
Atp1b1	H3K4me3Heart_902 (-3427), H3K4me3Heart_900 (+138599)
Atp2a2	H3K4me3Heart_6150;H3K4me3Heart_6151 (+4431)
Atp2c1	H3K4me3Heart_11005 (+1108)
Atp5j	H3K4me3Heart_17758 (-298320)
Atp5o	H3K4me3Heart_17811 (+45874)
Atp6ap2	H3K4me3Heart_20206 (-464689)
Atp6v0e	H3K4me3Heart_18134 (-91409)
Atp6v1b2	H3K4me3Heart_9453 (-205970)
Atp6v1g3	H3K4me3Heart_762 (+335669)
Atp7a	H3K4me3Heart_20589 (-10104)
Atp8b1	H3K4me3Heart_19263 (-21523)
Atp9a	H3K4me3Heart_2725 (+21486), H3K4me3Heart_2724 (+39645)
Atxn1	H3K4me3Heart_15101 (+402658)
Atxn10	H3K4me3Heart_16936 (-38329)
Atxn7l1	H3K4me3Heart_14161 (-183372), H3K4me3Heart_14166 (+11894)
Auts2	H3K4me3Heart_6274 (+346819)
Avl9	H3K4me3Heart_6913 (+80982)
B3galnt1	H3K4me3Heart_3174 (+10416)
B3galt1	H3K4me3Heart_1757 (+331763)
B3glct	H3K4me3Heart_6542 (+35710), H3K4me3Heart_6544 (+174320)
B3gnt3	H3K4me3Heart_9558 (+291)
B3gnt4	H3K4me3Heart_6177 (-12164)
B3gnt6	H3K4me3Heart_8514 (-68729)
B4galnt2	H3K4me3Heart_13401 (+106)
B4galt4	H3K4me3Heart_17620 (+51283)
BC026585	H3K4me3Heart_858 (-14748)
BC048679	H3K4me3Heart_8426 (-67626)
BC052040	H3K4me3Heart_2112 (+468188), H3K4me3Heart_2113 (+475323), H3K4me3Heart_2114 (+477026)
BC067074	H3K4me3Heart_15644 (-92931)
BC106179	H3K4me3Heart_17463 (-191251)
BC107364	H3K4me3Heart_3463 (-11874)
Babam1	H3K4me3Heart_9534 (-1574)
Bace2	H3K4me3Heart_17870 (+2896)
Bach1	H3K4me3Heart_17771 (-87445)
Bach2	H3K4me3Heart_4039 (+64892), H3K4me3Heart_4040 (+192190), H3K4me3Heart_4041 (+248312)
Bag3	H3K4me3Heart_8850 (+7444)
Bahcc1	H3K4me3Heart_13945 (-67996), H3K4me3Heart_13948 (-11947), H3K4me3Heart_13949 (-7407), H3K4me3Heart_13951 (-545), H3K4me3Heart_13953 (+7392)
Baiap2	H3K4me3Heart_13939 (+69345)
Bak1	H3K4me3Heart_18155 (-3886)
Bank1	H3K4me3Heart_3793 (+318292)
Banp	H3K4me3Heart_10058 (+93137)
Barx1	H3K4me3Heart_15136 (-3031), H3K4me3Heart_15138 (+6202)
Barx2	H3K4me3Heart_10320 (-84524), H3K4me3Heart_10318 (+225031)
Basp1	H3K4me3Heart_16463 (-32144), H3K4me3Heart_16462 (-27678), H3K4me3Heart_16459 (+54826)
Baz2b	H3K4me3Heart_1712 (+53487)
Bbc3	H3K4me3Heart_7721 (+2753)
Bbs9	H3K4me3Heart_10277 (+534014), H3K4me3Heart_10279 (+608136)
Bbx	H3K4me3Heart_17667 (-84506)
Bcat1	H3K4me3Heart_7545 (+225809)
Bckdhb	H3K4me3Heart_10861 (+120855)
Bcl11a	H3K4me3Heart_12548 (-1482)
Bcl11b	H3K4me3Heart_14642 (+25499), H3K4me3Heart_14641 (+72876), H3K4me3Heart_14640 (+357782)
Bcl2l1	H3K4me3Heart_2486 (+66968)
Bcl2l14	H3K4me3Heart_7469 (-232139)
Bcl6	H3K4me3Heart_17472 (+1026)
Bcl9	H3K4me3Heart_3488 (-7737)
Bcor	H3K4me3Heart_20206 (-42559)
Bcorl1	H3K4me3Heart_20321 (+59255)
Bcr	H3K4me3Heart_11748 (+113178)
Bend4	H3K4me3Heart_5643 (-16588)
Bend6	H3K4me3Heart_101 (-37456), H3K4me3Heart_99 (+3952)
Best3	H3K4me3Heart_12182 (+540), H3K4me3Heart_12183 (+37772)
Bet1	H3K4me3Heart_6570 (-251355), H3K4me3Heart_6568 (+80278)
Bhlhe22	H3K4me3Heart_2904 (-2591)
Bhlhe23	H3K4me3Heart_2825 (-116187)
Bicc1	H3K4me3Heart_11733 (-33235), H3K4me3Heart_11731 (+2219), H3K4me3Heart_11730 (+442000)
Bicdl1	H3K4me3Heart_6043 (-68098)
Bik	H3K4me3Heart_16911 (-2795)
Blk	H3K4me3Heart_16116 (+45471), H3K4me3Heart_16115 (+48978), H3K4me3Heart_16112 (+152508), H3K4me3Heart_16111 (+154133)
Blm	H3K4me3Heart_8412 (-52582)
Bloc1s3	H3K4me3Heart_7802 (+16265)
Bmp10	H3K4me3Heart_7096 (+2530)
Bmp4	H3K4me3Heart_15892 (-214663)
Bmp5	H3K4me3Heart_10802 (+2520)
Bmp6	H3K4me3Heart_15051 (+8321)
Bmper	H3K4me3Heart_10277 (-213347), H3K4me3Heart_10279 (-139225)
Bmx	H3K4me3Heart_20782 (+135)
Bnc2	H3K4me3Heart_4326 (+468269)
Boc	H3K4me3Heart_17645 (+107112)
Bop1	H3K4me3Heart_16730 (+15004)
Bpgm	H3K4me3Heart_6725 (+134328)
Brd7	H3K4me3Heart_9734 (-47572)
Brdt	H3K4me3Heart_5882 (-27631)
Brsk1	H3K4me3Heart_7630 (+16364)
Bsx	H3K4me3Heart_10386 (+3554)
Btbd11	H3K4me3Heart_11998 (-55534)
Btbd3	H3K4me3Heart_2372 (-921162)
Btg1	H3K4me3Heart_12095 (-245733), H3K4me3Heart_12099 (+418861)
Btg3	H3K4me3Heart_17749 (-50990)
Btn1a1	H3K4me3Heart_14910 (+33337)
Btn2a2	H3K4me3Heart_14921 (-27642)
Btrc	H3K4me3Heart_19973 (-80370), H3K4me3Heart_19978 (+144084)
Bub3	H3K4me3Heart_8876 (-4477)
Bves	H3K4me3Heart_11554 (+3154)
Bzw1	H3K4me3Heart_266 (-102970)
C130050O18Rik	H3K4me3Heart_6397 (-24200)
C130074G19Rik	H3K4me3Heart_1119 (+29641)
C1d	H3K4me3Heart_12484 (+203429)
C1ql2	H3K4me3Heart_611 (+17010)
C1qtnf1	H3K4me3Heart_13905 (+210)
C1qtnf9	H3K4me3Heart_16071 (-32881), H3K4me3Heart_16072 (-31538)
C2cd4a	H3K4me3Heart_10735 (+14465)
C2cd4b	H3K4me3Heart_10732 (-89170), H3K4me3Heart_10735 (+58428)
C730034F03Rik	H3K4me3Heart_16984 (-3874)
C87436	H3K4me3Heart_7078 (+49283), H3K4me3Heart_7080 (+77761)
Cabyr	H3K4me3Heart_18904 (+118660)
Cacna1c	H3K4me3Heart_7322 (+1555), H3K4me3Heart_7321 (+4197)
Cacna1d	H3K4me3Heart_15799 (-52543)
Cacna1e	H3K4me3Heart_821 (-314760)
Cacnb1	H3K4me3Heart_13478 (+19672)
Cacnb4	H3K4me3Heart_1684 (+199092)
Cacng3	H3K4me3Heart_8741 (+269128)
Cacng6	H3K4me3Heart_7600 (-935), H3K4me3Heart_7601 (+5849)
Cacng7	H3K4me3Heart_7594 (-896), H3K4me3Heart_7596 (+33834)
Cacng8	H3K4me3Heart_7596 (-27678)
Cactin	H3K4me3Heart_11931 (-3799)
Cad	H3K4me3Heart_5417 (+28167)
Cald1	H3K4me3Heart_6725 (-98907)
Calm2	H3K4me3Heart_18813 (-124686)
Camk2a	H3K4me3Heart_19228 (+38284)
Camk2d	H3K4me3Heart_3711 (+96169)
Camk2n1	H3K4me3Heart_4980 (+41840)
Camk4	H3K4me3Heart_18984 (+272796)
Camkmt	H3K4me3Heart_18786 (+374437)
Camta1	H3K4me3Heart_5145 (+757148), H3K4me3Heart_5144 (+764087)
Cand1	H3K4me3Heart_12213 (-394531), H3K4me3Heart_12211 (-171162)
Cant1	H3K4me3Heart_13903 (-4604)
Cap2	H3K4me3Heart_15107 (-79530), H3K4me3Heart_15108 (-78279)
Capn3	H3K4me3Heart_2188 (+75942)
Car12	H3K4me3Heart_10722 (+34964)
Car14	H3K4me3Heart_3429 (+1925)
Carns1	H3K4me3Heart_19468 (+63)
Casd1	H3K4me3Heart_6572 (-54753)
Caskin1	H3K4me3Heart_18061 (+18008)
Casq1	H3K4me3Heart_1001 (-24260), H3K4me3Heart_1000 (+181)
Casq2	H3K4me3Heart_3534 (+722)
Casr	H3K4me3Heart_17586 (+6357)
Casz1	H3K4me3Heart_5091 (-147278), H3K4me3Heart_5092 (-137077), H3K4me3Heart_5095 (-57711), H3K4me3Heart_5101 (+156550), H3K4me3Heart_5102 (+253129)
Cav2	H3K4me3Heart_6623 (-83347)
Cav3	H3K4me3Heart_7239 (+320)
Cavin2	H3K4me3Heart_216 (+3063)
Cblb	H3K4me3Heart_17673 (+418906)
Cbln1	H3K4me3Heart_9720 (+2052)
Cbln2	H3K4me3Heart_19437 (+2222)
Cbr4	H3K4me3Heart_9416 (-127794)
Cbx3	H3K4me3Heart_6856 (+515)
Cbx4	H3K4me3Heart_13918 (+7001)
Cbx5	H3K4me3Heart_17216 (-2636)
Cbx8	H3K4me3Heart_13918 (-38251), H3K4me3Heart_13914 (-4145)
Ccar1	H3K4me3Heart_11672 (-51823)
Ccdc110	H3K4me3Heart_9333;H3K4me3Heart_9334 (-46306)
Ccdc121	H3K4me3Heart_1091 (+44455)
Ccdc141	H3K4me3Heart_1877 (-1231)
Ccdc146	H3K4me3Heart_5301 (+49800)
Ccdc149	H3K4me3Heart_5571 (+6964)
Ccdc162	H3K4me3Heart_11508 (-91074)
Ccdc171	H3K4me3Heart_4326 (+681220)
Ccdc182	H3K4me3Heart_13314 (-41764)
Ccdc186	H3K4me3Heart_20098 (-4117), H3K4me3Heart_20096 (+45102), H3K4me3Heart_20094 (+94806), H3K4me3Heart_20093 (+96789)
Ccdc187	H3K4me3Heart_1389 (-3901)
Ccdc188	H3K4me3Heart_17385 (+11868)
Ccdc3	H3K4me3Heart_1222 (-57267)
Ccdc39	H3K4me3Heart_2974 (-145353), H3K4me3Heart_2973 (-112007)
Ccdc54	H3K4me3Heart_17669 (-98262), H3K4me3Heart_17667 (+74258)
Ccdc6	H3K4me3Heart_11720 (-479218)
Ccdc60	H3K4me3Heart_6048 (-186), H3K4me3Heart_6047 (+17108)
Ccdc63	H3K4me3Heart_6139 (+35345)
Ccdc68	H3K4me3Heart_19318 (-525730), H3K4me3Heart_19320 (-401789)
Ccdc88b	H3K4me3Heart_19580 (+9908)
Ccdc91	H3K4me3Heart_7574 (+30368)
Cck	H3K4me3Heart_11240 (+18048)
Ccnb1	H3K4me3Heart_15554 (+2147)
Ccne1	H3K4me3Heart_8069 (-59962)
Ccnl1	H3K4me3Heart_3141 (+94598)
Ccnyl1	H3K4me3Heart_314 (+1072)
Ccr4	H3K4me3Heart_11162 (-19286)
Ccr7	H3K4me3Heart_13526 (-331)
Cct2	H3K4me3Heart_12186 (-82833)
Cd180	H3K4me3Heart_15562 (-48643), H3K4me3Heart_15568 (+401178)
Cd34	H3K4me3Heart_1193 (+78416)
Cd40lg	H3K4me3Heart_20372 (+112932)
Cd46	H3K4me3Heart_1193 (+75011)
Cd83	H3K4me3Heart_15092 (+444132), H3K4me3Heart_15093 (+797249)
Cd9	H3K4me3Heart_7414 (+2651)
Cd93	H3K4me3Heart_2427 (+4336)
Cdc14b	H3K4me3Heart_15311 (-35530)
Cdc40	H3K4me3Heart_11500 (+145254)
Cdc42ep2	H3K4me3Heart_19552 (-32847)
Cdc42ep4	H3K4me3Heart_13780 (-60620)
